Text_A,Text_B,Text_A_token,Text_B_token,Label
ba người phụ nữ đang nhảy múa,người đàn ông đang nhảy múa,ba người phụ_nữ đang nhảy_múa,người đàn_ông đang nhảy_múa,0
những con mèo đang chơi với nhau,hai con mèo đang chiến đấu với nhau,những con mèo đang chơi với nhau,hai con mèo đang chiến_đấu với nhau,1
một người đang viết,một người đang viết bằng bút chì,một người đang viết,một người đang viết bằng bút_chì,1
một người đàn ông đang chạy,một người đàn ông đang chạy xuống đường,một người đàn_ông đang chạy,một người đàn_ông đang chạy xuống_đường,1
người phụ nữ đang cán bột,một người phụ nữ đang bột và cán bột,người phụ_nữ đang cán bột,một người phụ_nữ đang bột và cán bột,1
một người phụ nữ đang thêm gia vị vào thịt,người phụ nữ đang thêm đường vào thịt,một người phụ_nữ đang thêm gia_vị vào thịt,người phụ_nữ đang thêm đường vào thịt,1
một người phụ nữ đang thêm dầu vào cá,một người phụ nữ đang đổ nước lên cá,một người phụ_nữ đang thêm dầu vào cá,một người phụ_nữ đang đổ nước lên cá,1
một cậu bé đang cầm một cây đàn guitar,một cậu bé đang chơi guitar,một cậu bé đang cầm một cây đàn guitar,một cậu bé đang chơi guitar,1
một con báo đang chạy,một con báo đang chạy trên một cánh đồng,một con báo đang chạy,một con báo đang chạy trên một cánh đồng,1
người đàn ông đang ăn pizza,một người đàn ông đang ăn một lát bánh pizza,người đàn_ông đang ăn pizza,một người đàn_ông đang ăn một lát bánh pizza,1
một con đười ươi đang đi xe buýt,một con khỉ đang đi trên xe buýt,một con đười_ươi đang đi xe_buýt,một con khỉ đang đi trên xe_buýt,1
một người đàn ông và một người phụ nữ nói chuyện trong một quán ăn,một người đàn ông và một người phụ nữ đang đi trên một chiếc xe đạp,một người đàn_ông và một người phụ_nữ nói_chuyện trong một quán ăn,một người đàn_ông và một người phụ_nữ đang đi trên một chiếc xe_đạp,1
một người đàn ông đang chơi guitar,một người đàn ông đang lau cửa kính,một người đàn_ông đang chơi guitar,một người đàn_ông đang lau cửa_kính,1
một cô gái đang hát và chơi guitar,một chàng trai trẻ đang hát trong khi chơi guitar,một cô gái đang hát và chơi guitar,một chàng trai_trẻ đang hát trong khi chơi guitar,0
một cô gái đang giao tiếp bằng ngôn ngữ ký hiệu,một cô gái trẻ đang sử dụng ngôn ngữ ký hiệu,một cô gái đang giao_tiếp_bằng ngôn_ngữ ký_hiệu,một cô gái trẻ đang sử_dụng ngôn_ngữ ký_hiệu,1
một người phụ nữ đang tập tạ,một người phụ nữ đang làm tóc,một người phụ_nữ đang tập tạ,một người phụ_nữ đang làm tóc,1
một người đàn ông đang vào trong xe,một người đàn ông lớn tuổi đang bước vào một chiếc xe màu đỏ,một người đàn_ông đang vào trong xe,một người đàn_ông lớn_tuổi đang bước vào một chiếc xe màu đỏ,0
một quả bóng lớn màu xanh lá cây làm đổ một củ khoai tây,một quả bóng lớn màu xanh lá cây chạm vào một củ khoai tây,một quả bóng lớn màu xanh lá cây làm đổ một củ khoai_tây,một quả bóng lớn màu xanh lá cây chạm vào một củ khoai_tây,1
một con mèo đang chơi bàn phím,một con mèo đang chơi piano,một con mèo đang chơi bàn_phím,một con mèo đang chơi piano,1
hai bơi trong một hồ bơi,chó đang bơi trong hồ bơi,hai bơi trong một hồ bơi,chó đang bơi trong hồ bơi,1
người đàn ông đã dùng dao băm để cắt hành tây,người đàn ông đã sử dụng máy để cắt một củ khoai tây,người đàn_ông đã dùng dao băm để cắt hành_tây,người đàn_ông đã sử_dụng máy để cắt một củ khoai_tây,0
một người phụ nữ cắt đậu phụ,một người phụ nữ đang cắt đậu phụ,một người phụ_nữ cắt đậu_phụ,một người phụ_nữ đang cắt đậu_phụ,1
một đàn hươu đang băng qua đường,một đàn caribou đang băng qua đường,một đàn hươu đang băng qua đường,một đàn caribou đang băng qua đường,1
người đang cưỡi ngựa,một người đàn ông đang cưỡi ngựa,người đang cưỡi ngựa,một người đàn_ông đang cưỡi ngựa,1
ai đó đang cho một con vật ăn,ai đó đang chơi piano,ai đó đang cho một con vật ăn,ai đó đang chơi piano,0
ai đó đang cắt bánh tortila,ai đó đang cưỡi ngựa,ai đó đang cắt bánh tortila,ai đó đang cưỡi ngựa,0
ai đó đang trộn lẫn các thành tựu,ai đó đang may đồ,ai đó đang trộn lẫn các thành_tựu,ai đó đang may_đồ,0
một con gà trống mổ vào một con chuột chết,một con gà đang mổ vào một con chuột chết,một con gà trống mổ vào một con chuột chết,một con gà đang mổ vào một con chuột chết,1
một người phụ nữ cầm một con chuột túi,một người phụ nữ đang nhặt một con chuột túi,một người phụ_nữ cầm một con chuột_túi,một người phụ_nữ đang nhặt một con chuột_túi,1
một người đàn ông đang chơi với ếch,một con mèo đang chơi với một chiếc máy ảnh,một người đàn_ông đang chơi với ếch,một con mèo đang chơi với một chiếc máy_ảnh,0
hai người đàn ông đang nói chuyện,hai người đàn ông đang chơi guitar,hai người đàn_ông đang nói_chuyện,hai người đàn_ông đang chơi guitar,1
một người đàn ông phết bơ lên một miếng bánh mì lớn,một người đàn ông đang bôi bơ lên một lát bánh mì tỏi,một người đàn_ông phết bơ lên một miếng bánh_mì lớn,một người đàn_ông đang bôi bơ lên một lát bánh_mì tỏi,1
một người đàn ông đang chạy qua một sợi dây cao,một người đàn ông đang chạy trên dây thừng,một người đàn_ông đang chạy qua một sợi dây cao,một người đàn_ông đang chạy trên dây thừng,1
một người đàn ông đang cắt cỏ,một người phụ nữ đang cắt một quả chanh,một người đàn_ông đang cắt cỏ,một người phụ_nữ đang cắt một quả chanh,0
một người đàn ông đang mở một cánh cửa,một người đàn ông đang chơi guitar,một người đàn_ông đang mở một cánh cửa,một người đàn_ông đang chơi guitar,1
một người đàn ông đang cắt một củ khoai tây thành miếng,một người đàn ông đang cắt một củ khoai tây,một người đàn_ông đang cắt một củ khoai_tây thành miếng,một người đàn_ông đang cắt một củ khoai_tây,1
người phụ nữ đang cắt bạch tuộc nấu chín,một người phụ nữ đang chặt bạch tuộc,người phụ_nữ đang cắt bạch_tuộc nấu chín,một người phụ_nữ đang chặt bạch_tuộc,1
một người đàn ông đang đấm xuyên qua các tấm ván,một đang chạy trong nước,một người đàn_ông đang đấm xuyên qua các tấm ván,một đang chạy trong nước,0
một người đàn ông đang nhảy múa,một người đàn ông đang ăn bánh mì,một người đàn_ông đang nhảy_múa,một người đàn_ông đang ăn bánh_mì,1
ai đó đang chơi piano,một người đàn ông đang chơi guitar,ai đó đang chơi piano,một người đàn_ông đang chơi guitar,0
hai con cáo đang ăn từ một cái đĩa trên sân gạch,cáo đang ăn từ đĩa,hai con cáo đang ăn từ một cái đĩa trên sân gạch,cáo đang ăn từ đĩa,1
một cậu bé đang chơi bảng phím,một cậu bé đang chơi piano,một cậu bé đang chơi bảng phím,một cậu bé đang chơi piano,1
một người chơi bàn phím,ai đó đang chơi bàn phím,một người chơi bàn_phím,ai đó đang chơi bàn_phím,0
một người đàn ông đang bắn súng,một người đàn ông đang khạc nhổ,một người đàn_ông đang bắn súng,một người đàn_ông đang khạc nhổ,1
ai đó đang cắt một củ hành tây,someoen đang gọt vỏ khoai tây,ai đó đang cắt một củ hành_tây,someoen đang gọt vỏ khoai_tây,0
một người đàn ông đang bơi,một người phụ nữ đang thái thịt,một người đàn_ông đang bơi,một người phụ_nữ đang thái thịt,0
một người đàn ông đang chơi guitar,một người đàn ông chơi guitar acoustic,một người đàn_ông đang chơi guitar,một người đàn_ông chơi guitar acoustic,1
một người phụ nữ đang cắt một quả bí ngô,một người phụ nữ đang cưỡi một con voi,một người phụ_nữ đang cắt một quả bí_ngô,một người phụ_nữ đang cưỡi một con voi,1
một người phụ nữ đang nhảy múa,một người phụ nữ đang nhào bột,một người phụ_nữ đang nhảy_múa,một người phụ_nữ đang nhào bột,1
một người phụ nữ đang đập trứng vào bát,một người phụ nữ đang đặt xiên lên giá,một người phụ_nữ đang đập trứng vào bát,một người phụ_nữ đang đặt xiên lên giá,0
